Number of Vehicles,Road Surface,Lighting Conditions,Weather Conditions,Casualty Victim,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,1,1,1,2,1,1,38,4
1,1,2,1,3,1,1,19,4
1,1,1,1,2,1,2,26,6
3,1,1,1,2,1,2,47,4
2,1,1,1,1,1,1,34,2
2,1,1,1,1,1,2,44,2
2,1,1,1,1,1,1,21,2
1,1,1,1,3,1,2,70,4
2,1,1,1,1,1,1,57,2
1,1,1,1,3,1,2,33,4
1,1,1,1,2,1,2,39,6
2,1,1,1,1,1,1,44,6
2,1,1,1,2,1,1,24,2
1,1,1,1,3,1,2,43,4
1,1,1,1,3,1,2,43,4
1,1,1,1,3,1,1,14,4
2,1,1,1,1,1,1,50,2
2,1,1,1,2,1,2,23,4
2,1,1,1,1,1,1,53,4
2,1,1,1,1,1,1,57,4
5,1,1,1,1,1,2,27,4
5,1,1,1,2,1,2,27,4
2,1,1,1,1,1,1,25,2
2,1,1,1,1,1,2,38,4
1,1,1,1,2,1,2,21,6
2,1,1,1,1,1,1,44,4
3,2,1,1,1,1,1,52,4
1,2,2,1,3,1,1,52,4
1,2,2,1,3,1,2,51,4
1,1,3,1,2,2,1,34,4
1,2,1,5,3,1,2,23,0
2,1,1,1,1,1,2,27,2
1,2,1,1,2,1,2,54,4
1,2,1,1,2,1,2,8,4
1,1,1,1,3,1,1,5,4
2,2,1,2,1,2,1,42,2
2,2,1,2,1,1,1,40,4
2,1,1,1,1,1,2,50,2
2,1,1,1,1,1,2,22,4
2,1,1,1,1,2,1,55,2
2,1,2,1,1,3,1,38,2
2,1,2,1,2,2,2,33,2
1,2,2,2,3,2,1,20,4
2,2,1,2,1,1,2,21,2
3,2,1,1,1,2,2,19,4
3,2,1,1,1,2,2,34,4
2,1,1,1,1,1,1,49,2
1,1,1,1,3,1,2,9,4
2,1,1,1,1,1,1,56,4
2,1,1,1,2,1,1,56,4
2,1,1,1,2,1,1,45,4
2,1,1,1,2,1,2,45,4
2,1,1,1,2,1,2,45,4
2,1,1,1,2,2,1,17,2
2,1,1,1,2,2,1,19,2
2,1,1,1,1,1,2,40,4
5,1,1,1,1,1,1,54,4
5,1,1,1,2,1,2,52,4
5,1,1,1,1,1,1,42,4
5,1,1,1,1,1,1,55,6
2,1,1,1,1,1,1,45,4
2,2,1,1,1,1,2,41,4
2,1,1,1,1,1,1,45,4
3,1,1,1,1,1,1,24,4
3,1,1,1,1,1,1,19,4
1,1,2,1,3,1,1,15,4
2,1,1,1,1,1,1,31,2
2,1,1,1,1,1,1,23,2
2,1,1,1,1,1,1,39,2
3,1,1,1,1,1,1,34,4
2,1,2,1,1,1,2,20,4
2,1,2,1,2,1,2,18,4
2,1,1,1,1,1,1,37,2
1,2,1,2,3,1,2,12,4
3,2,2,2,1,1,2,25,2
2,1,1,1,1,1,2,70,4
3,1,1,1,1,1,1,53,4
3,1,1,1,2,1,2,45,4
1,1,1,1,3,1,1,11,4
2,1,1,1,1,1,2,27,4
2,1,1,1,2,1,1,43,4
2,1,1,1,2,1,1,18,4
2,1,1,1,2,1,1,16,4
1,1,2,1,1,1,1,33,4
1,1,1,1,3,2,2,6,4
2,1,1,1,2,1,1,43,4
3,1,1,1,1,1,2,23,4
2,1,1,1,1,1,1,55,4
2,1,1,1,2,1,2,20,4
1,1,1,1,3,1,1,55,0
2,1,1,1,1,1,2,34,4
2,1,1,1,1,1,1,55,2
2,1,1,1,2,1,2,51,6
2,1,1,1,1,1,1,27,4
2,1,1,1,1,1,1,21,2
2,1,1,1,1,1,2,43,4
2,1,1,1,1,2,1,29,2
2,1,1,1,1,1,1,47,2
1,1,1,1,3,2,2,54,0
2,1,1,1,1,1,1,27,2
2,1,1,1,1,2,1,27,4
2,1,1,1,1,1,1,30,4
2,1,1,1,1,1,1,58,4
2,1,1,1,2,1,2,14,4
2,1,1,1,1,1,2,31,4
1,1,2,1,1,2,2,35,4
1,1,2,1,1,1,1,23,4
2,1,1,1,1,1,1,53,4
1,1,1,1,1,1,1,39,6
2,1,1,1,1,1,1,46,2
1,1,1,1,3,1,1,16,6
2,1,1,1,1,1,1,50,6
2,1,1,1,1,1,1,72,4
2,1,2,1,1,1,1,39,4
2,1,2,1,2,1,2,37,4
2,1,1,1,1,1,2,19,2
1,1,1,1,2,2,2,47,6
2,1,1,1,2,1,2,42,4
2,1,1,1,1,1,2,34,4
2,1,1,1,2,1,2,23,4
2,1,1,1,1,2,1,25,2
2,1,1,1,1,1,2,27,4
2,1,2,1,1,1,1,35,4
1,1,1,1,3,1,1,35,6
2,1,1,1,1,1,2,36,2
1,1,1,1,2,1,2,56,6
1,1,1,1,2,1,2,20,6
1,1,1,1,2,1,1,47,6
1,1,1,1,2,1,2,68,6
2,1,1,1,2,1,2,20,4
1,1,1,1,2,1,2,30,6
2,1,2,1,1,1,1,33,4
2,1,1,1,1,1,1,38,4
2,1,1,1,1,1,1,76,4
3,1,1,1,2,1,2,37,4
3,1,1,1,1,1,1,64,4
2,1,1,1,1,1,1,23,4
2,2,1,2,1,1,2,65,4
3,2,1,2,1,1,2,30,4
3,2,1,2,1,1,1,57,4
1,1,1,1,3,1,1,86,4
2,1,1,1,1,1,2,46,4
2,2,1,1,1,1,1,85,4
2,2,1,1,2,1,2,17,6
2,2,1,2,1,1,1,46,2
1,1,1,1,3,1,1,6,4
1,1,1,1,3,1,1,16,4
1,2,1,2,1,1,2,31,4
1,2,1,2,1,1,1,22,2
1,2,1,1,3,2,1,15,4
1,1,1,1,3,1,2,21,4
2,1,1,1,1,1,1,59,2
2,1,1,1,2,1,2,8,4
2,1,1,1,2,1,2,6,4
2,1,1,1,2,1,2,45,4
2,1,1,1,2,1,2,24,4
4,1,1,1,1,1,1,40,4
5,1,1,1,2,1,2,6,4
5,1,1,1,1,1,2,27,4
5,1,1,1,1,1,2,23,4
3,1,1,1,1,3,1,25,4
3,1,1,1,1,2,2,46,4
3,1,1,1,1,1,1,29,2
2,1,3,1,1,2,1,21,2
2,2,2,5,1,1,1,19,4
2,2,2,5,1,1,1,22,4
2,1,2,1,1,1,1,27,4
2,1,1,1,1,1,1,24,4
2,1,1,1,1,1,2,60,4
2,1,1,1,1,1,1,27,4
1,1,1,1,1,1,1,23,2
2,1,1,1,1,1,2,55,4
2,1,1,1,1,1,1,63,6
2,1,1,1,2,1,2,50,6
1,1,1,1,1,1,2,31,2
2,1,1,5,2,1,2,34,6
1,1,1,1,3,2,2,34,6
4,1,1,1,1,1,1,17,4
4,1,1,1,1,1,1,32,4
4,1,1,1,1,1,2,36,4
4,1,1,1,1,1,2,55,4
6,1,1,1,1,2,1,28,4
1,1,1,1,1,1,1,30,2
2,1,1,1,1,1,1,64,2
2,1,1,1,1,1,1,48,2
2,1,1,1,1,2,1,37,6
1,1,2,1,1,2,1,24,4
2,1,1,1,1,1,1,44,2
2,1,1,1,1,1,2,65,4
3,1,1,1,2,1,2,50,4
1,1,1,1,1,1,1,20,4
1,1,1,1,2,1,1,18,4
1,1,1,1,2,2,1,16,4
2,1,1,1,1,1,2,24,2
2,1,1,1,1,1,1,43,2
1,1,2,1,2,2,1,24,4
1,1,1,1,3,1,1,24,4
2,1,1,1,1,1,1,62,6
2,1,1,1,1,1,1,52,4
1,1,1,1,3,1,1,7,4
1,1,2,1,2,1,2,23,4
1,1,1,1,3,2,2,2,6
2,1,1,1,1,1,1,56,4
2,1,1,1,2,1,2,54,4
2,1,1,1,2,1,2,16,4
2,1,1,1,2,1,1,21,4
2,1,1,1,1,1,1,29,2
2,1,1,1,1,1,2,24,4
2,1,1,1,2,1,2,25,4
2,1,3,1,1,1,1,51,2
1,1,1,1,1,1,2,38,4
1,1,1,1,3,1,1,21,6
2,1,1,1,1,1,1,24,2
1,1,1,1,3,1,1,31,4
3,1,1,1,1,1,2,32,4
3,1,1,1,1,1,2,28,4
1,1,1,1,1,1,1,35,2
1,2,1,5,1,2,1,55,6
2,1,1,1,1,1,2,52,4
1,1,1,1,2,1,2,53,6
2,1,1,1,1,1,1,12,2
2,1,1,1,1,1,1,20,2
2,1,1,1,1,1,1,29,4
2,1,1,1,1,1,2,19,4
1,1,1,1,2,1,2,85,6
2,1,1,1,1,1,1,27,4
2,1,2,1,2,1,2,25,4
2,1,2,1,2,1,1,27,4
1,1,1,1,3,1,1,28,4
1,1,1,1,3,2,1,9,4
1,1,1,1,3,2,1,17,4
1,1,1,1,2,1,2,79,6
1,1,1,1,3,2,1,56,6
1,2,1,2,1,1,1,57,4
2,1,1,1,2,1,2,72,4
2,1,1,1,1,1,1,41,2
2,1,1,1,2,1,2,12,4
1,1,1,1,1,1,1,63,2
2,1,1,1,1,1,2,22,4
1,2,2,1,2,1,2,41,4
2,1,1,1,1,1,1,66,4
2,1,1,1,2,1,2,58,4
1,1,1,1,3,1,2,26,4
2,1,1,1,1,1,1,51,4
4,1,1,1,1,1,1,56,4
4,1,1,1,2,1,2,57,4
2,1,1,1,1,1,1,48,2
2,1,1,1,1,1,1,29,2
2,1,1,1,1,1,2,43,4
2,1,1,1,1,1,2,45,4
2,2,1,3,1,1,2,24,4
2,2,1,3,1,1,2,37,4
2,1,1,1,1,1,1,40,2
2,1,1,1,1,1,1,49,4
2,1,1,1,2,1,2,63,4
2,1,1,1,2,2,2,68,4
2,1,1,1,1,1,2,59,4
2,1,1,1,1,1,1,27,2
1,1,1,1,1,1,1,52,6
2,1,1,1,1,1,2,22,4
2,1,1,1,2,1,2,7,4
2,1,1,1,1,1,1,65,4
2,1,1,1,1,2,1,25,2
2,1,1,1,1,2,1,67,2
2,1,1,1,2,1,1,21,4
2,1,1,1,1,1,2,25,4
1,1,1,1,3,1,2,14,6
1,1,1,1,1,1,1,24,6
3,1,1,1,2,2,1,78,6
3,1,1,1,2,1,1,77,6
3,1,1,1,2,1,2,20,6
3,1,1,1,2,1,1,49,6
2,1,1,1,1,2,1,27,2
1,1,1,1,3,1,1,49,4
1,1,1,1,3,1,1,10,4
2,1,1,1,1,1,1,19,2
1,1,1,1,2,1,2,19,4
1,1,1,1,2,1,2,33,4
2,1,1,1,1,1,2,40,4
2,1,1,1,1,1,2,31,4
2,1,1,1,2,1,1,40,4
2,1,1,1,1,1,1,21,2
2,1,1,1,1,1,1,20,4
1,1,1,1,3,1,2,13,4
2,1,1,1,1,1,1,48,2
2,1,1,1,1,2,1,21,2
2,1,1,1,2,1,2,87,6
3,1,1,1,2,1,1,30,6
1,1,1,1,3,2,1,63,4
2,1,1,1,1,2,1,28,2
2,1,1,1,1,1,1,27,2
2,1,1,1,3,1,1,48,4
1,1,1,1,3,2,2,85,4
1,1,1,1,3,1,1,25,4
2,1,1,1,1,1,1,32,4
1,1,1,1,1,1,1,49,6
1,1,1,1,3,1,2,34,6
2,1,1,1,1,1,1,53,4
3,1,1,1,1,1,2,28,4
2,1,1,1,1,1,1,39,4
2,1,1,1,2,1,1,8,4
2,1,1,1,2,1,2,25,4
2,1,1,1,2,1,2,10,4
1,1,1,1,1,2,1,44,2
2,1,1,1,1,2,1,47,2
3,1,1,1,1,1,1,58,4
3,1,1,1,1,1,1,46,4
3,1,1,1,1,1,2,41,4
4,1,1,1,1,1,2,46,4
4,1,1,1,1,1,2,24,4
2,1,1,1,2,1,1,20,6
2,1,1,1,1,1,1,12,2
1,1,1,1,3,1,1,36,4
1,1,1,1,2,1,2,3,6
1,1,1,1,3,1,2,28,4
1,1,1,1,3,1,1,11,4
2,1,1,1,1,1,1,11,2
3,1,1,1,1,1,1,47,4
3,1,1,1,2,1,2,89,4
2,1,1,5,1,1,2,29,4
2,1,1,5,2,1,2,26,4
1,1,1,1,1,1,2,43,4
2,1,1,1,1,1,2,44,2
1,1,1,1,1,2,1,43,2
3,1,1,1,1,1,1,47,6
2,1,1,1,1,1,2,28,4
3,1,1,1,1,1,2,34,4
2,1,1,1,1,1,1,44,4
1,1,1,1,2,1,1,5,4
1,1,1,1,2,1,2,7,4
1,1,2,1,3,1,1,26,4
1,1,2,1,3,1,2,19,4
1,2,1,1,1,1,2,47,4
1,1,1,1,1,2,1,24,2
2,1,1,1,1,1,1,23,2
1,2,1,1,3,1,1,8,4
2,1,1,1,1,1,1,48,2
2,1,1,1,1,1,2,28,4
2,1,1,1,1,1,2,39,4
1,1,1,1,1,1,1,30,4
1,2,1,1,1,1,1,51,4
1,2,1,1,2,1,2,61,4
3,1,1,1,3,1,1,36,4
1,1,1,1,3,1,1,84,6
2,1,1,1,1,1,2,48,4
2,1,1,1,1,1,1,39,2
2,1,1,1,1,1,1,26,2
2,1,1,1,1,2,1,51,2
2,1,1,1,2,1,2,73,6
1,1,1,1,3,2,1,43,4
2,1,1,1,1,1,2,41,4
2,1,1,1,1,1,2,21,4
2,1,1,1,2,1,1,21,4
2,1,2,1,1,1,2,18,4
2,1,2,1,2,1,1,47,4
2,1,1,1,1,1,2,39,4
2,1,1,1,2,2,2,30,4
2,1,1,1,1,1,2,36,4
2,1,1,1,1,1,2,26,4
2,1,1,1,2,1,2,26,4
2,1,1,1,2,1,2,24,4
2,1,1,1,2,1,2,25,4
1,1,1,1,3,1,1,20,4
2,1,1,1,1,1,1,14,2
2,2,1,2,2,1,2,17,4
2,2,1,2,2,1,2,19,4
2,2,1,2,2,1,2,16,4
2,1,1,1,1,1,1,11,2
2,1,1,1,2,1,2,67,6
1,1,1,1,3,1,1,3,4
2,1,1,1,1,2,1,33,2
2,1,1,1,1,1,1,49,2
2,1,1,1,1,1,1,64,4
2,1,1,1,1,1,1,14,2
2,1,1,1,1,1,2,38,4
3,1,1,1,1,1,2,30,4
3,1,1,1,2,1,2,53,6
3,1,1,1,2,1,2,57,6
3,1,1,1,2,1,2,61,6
3,1,1,1,2,1,2,77,6
3,1,1,1,2,1,2,68,6
3,1,1,1,2,1,1,88,6
3,1,1,1,2,1,2,72,6
3,1,1,1,2,1,2,56,6
3,1,1,1,2,1,2,58,6
3,1,1,1,2,1,1,52,6
1,1,1,1,2,2,2,93,6
1,1,1,1,3,1,2,16,4
2,1,1,1,1,2,1,37,2
2,1,1,1,1,1,1,44,2
1,1,1,1,2,1,1,53,6
2,1,1,1,1,1,1,26,4
2,1,1,1,1,1,1,89,4
1,1,1,1,2,1,2,21,6
1,1,1,1,2,1,2,78,6
1,2,2,1,2,2,1,22,4
2,1,1,1,1,1,1,19,2
2,2,1,1,1,1,1,30,2
2,2,1,1,1,1,1,12,2
2,1,1,1,2,1,2,54,4
2,1,1,1,1,1,1,40,2
2,1,1,1,1,1,1,48,4
2,1,1,1,2,1,1,11,4
2,1,1,1,1,1,1,24,4
2,1,3,1,3,2,1,42,4
2,1,1,1,1,1,1,26,6
2,1,1,1,2,1,1,19,6
2,1,1,1,2,1,1,55,4
2,1,1,1,1,1,1,58,2
1,1,1,1,2,1,2,78,6
1,1,1,1,2,1,2,79,6
3,1,1,1,1,1,1,17,4
2,1,1,1,1,2,1,45,2
1,2,2,2,1,1,1,19,4
1,2,3,2,3,1,1,28,4
2,1,1,1,1,2,2,33,2
2,1,1,1,1,1,2,55,4
2,1,1,1,1,1,1,39,4
2,1,1,1,1,1,2,72,4
2,1,1,1,1,1,2,30,4
2,1,1,1,2,2,2,79,6
2,1,1,1,1,1,1,26,4
2,1,1,1,1,1,2,34,6
2,1,1,1,1,1,1,68,4
1,1,1,1,1,1,1,44,4
2,1,1,1,1,1,2,26,2
2,1,1,1,1,2,1,11,2
2,1,1,1,1,2,1,60,2
2,1,3,1,2,1,2,68,4
2,1,3,1,2,1,2,42,4
2,1,3,1,2,1,2,32,4
2,1,1,1,1,1,1,51,2
2,1,1,1,1,1,1,31,4
2,1,1,1,1,1,2,24,2
3,1,1,1,1,1,1,87,4
2,1,1,1,1,1,1,27,2
2,1,1,1,1,1,2,32,4
2,1,1,1,2,1,2,22,4
1,1,1,1,1,1,1,53,4
2,1,1,1,1,1,1,25,2
2,1,1,1,1,1,2,31,4
2,1,1,1,1,1,2,42,4
2,1,1,1,2,1,2,27,4
1,1,1,1,1,1,1,24,2
2,1,2,1,1,1,1,38,2
4,1,1,1,1,1,1,37,4
4,1,1,1,1,1,2,19,4
2,1,1,1,1,1,1,25,2
2,1,1,1,1,1,1,28,2
3,1,1,1,1,2,1,48,2
2,1,1,1,1,1,2,21,4
2,1,1,1,2,1,1,21,4
2,1,1,1,2,1,1,21,4
2,1,1,1,2,1,2,21,4
1,1,1,1,3,1,1,12,4
2,1,1,1,1,1,1,16,2
3,1,1,1,1,1,2,22,4
3,1,1,1,2,1,2,67,4
3,1,1,1,1,1,1,26,4
2,1,1,1,1,1,1,22,2
2,1,1,1,1,1,1,52,4
2,1,1,1,2,1,2,46,4
2,1,1,1,1,1,1,49,4
2,1,1,1,2,1,1,24,4
1,1,1,1,2,1,2,48,6
1,1,1,1,3,2,2,13,4
2,2,1,1,1,1,1,20,2
1,1,1,1,2,2,1,24,4
1,1,2,1,2,2,1,22,4
1,1,2,1,2,1,1,25,4
2,1,1,1,1,1,1,64,2
2,1,1,1,1,2,1,42,2
3,1,1,1,1,1,1,32,4
1,1,1,1,1,1,2,73,4
1,1,1,1,3,1,1,8,4
1,1,1,1,3,1,1,6,4
2,1,1,1,1,1,1,54,6
2,1,1,1,1,1,1,28,4
2,1,1,1,2,1,2,60,4
2,1,1,1,1,1,1,41,4
1,1,1,1,3,1,2,13,4
2,1,1,1,2,1,2,71,4
4,1,1,1,1,1,2,60,4
2,1,1,1,2,1,2,23,6
2,1,1,1,1,1,1,47,2
3,1,2,1,1,2,1,28,4
2,1,1,1,1,1,1,80,4
2,1,1,1,1,1,1,59,2
2,1,1,1,1,1,1,13,2
3,1,1,1,1,1,1,59,4
2,1,1,1,1,1,2,28,4
2,1,1,1,2,1,2,29,4
1,1,1,1,3,1,1,9,4
1,1,1,1,3,1,1,24,4
2,1,1,1,1,1,2,6,2
2,1,1,1,1,1,1,29,2
2,1,1,1,1,1,2,34,4
2,1,1,1,2,1,2,34,4
2,1,1,1,1,1,1,81,2
2,1,1,1,1,1,1,43,6
3,1,1,1,2,1,1,60,6
2,1,1,1,1,1,1,48,2
2,1,1,1,1,1,2,48,2
1,2,1,2,3,1,2,27,4
2,2,1,1,2,1,2,27,4
1,1,1,1,1,1,1,20,4
2,1,1,1,1,1,2,39,2
2,1,3,1,1,1,1,26,2
2,1,1,1,1,2,1,45,2
2,1,1,1,1,1,1,36,4
2,1,1,1,1,1,1,45,6
2,1,1,1,1,1,2,46,2
3,1,1,1,1,2,1,19,4
3,1,1,1,1,1,1,38,6
2,1,2,1,1,1,1,62,4
2,1,2,1,2,1,1,38,4
2,2,1,2,1,1,1,59,2
2,2,1,2,2,1,2,56,2
2,1,1,1,1,1,1,23,2
1,1,1,1,3,1,1,21,4
4,1,1,1,1,1,1,48,4
2,1,1,1,1,1,1,59,2
1,2,1,5,1,1,1,19,2
1,2,2,3,1,1,1,26,2
2,1,1,1,1,1,2,25,2
1,1,1,1,2,1,2,66,6
2,1,1,1,2,1,1,33,4
2,2,1,1,1,1,1,20,4
1,2,2,3,1,1,1,41,4
4,2,2,2,2,2,2,39,4
2,1,1,1,1,1,1,54,2
2,1,1,1,1,1,2,35,6
1,1,1,1,3,1,2,14,4
2,1,1,1,1,1,2,34,4
2,1,2,1,1,1,1,34,0
2,1,2,1,1,1,2,31,4
2,1,1,1,1,1,2,39,4
2,1,1,1,1,1,2,43,2
3,1,1,1,1,1,2,25,4
3,1,1,1,1,1,2,19,4
3,1,1,1,1,1,2,24,4
1,1,1,1,3,2,1,11,4
1,1,1,1,3,1,1,30,4
2,1,1,1,1,2,2,22,2
2,1,1,1,2,1,2,33,4
2,1,1,1,2,1,1,2,4
1,1,1,1,3,1,1,39,4
2,1,1,1,1,1,1,36,4
2,1,1,1,1,1,1,25,2
2,1,1,1,1,1,2,22,4
1,1,1,1,3,1,2,10,4
1,1,2,1,1,1,1,21,4
2,1,1,5,1,1,1,37,2
2,1,1,1,1,1,1,90,4
2,1,1,1,1,1,1,19,2
1,1,1,1,2,1,1,82,6
1,1,1,1,3,1,1,11,4
2,1,1,1,1,1,2,27,4
1,1,1,1,3,1,2,16,4
1,1,1,1,1,1,1,19,4
1,2,2,1,3,1,1,22,4
5,1,1,1,1,1,1,36,4
1,1,1,1,1,1,1,55,2
2,1,1,1,1,1,2,25,4
2,1,1,1,2,1,1,28,4
2,1,1,1,1,1,2,22,4
1,1,2,1,1,2,2,52,4
1,1,2,1,2,1,2,28,4
1,1,2,1,2,1,1,33,4
1,1,1,1,1,2,1,47,2
2,1,1,1,1,2,1,48,4
2,1,1,1,1,1,2,58,4
2,1,1,1,1,1,1,54,4
2,1,1,1,2,1,1,19,4
2,2,1,2,1,2,1,37,4
2,2,1,2,2,1,2,31,4
1,1,1,1,3,1,2,65,4
2,2,1,2,1,1,1,22,2
1,1,1,1,3,1,1,17,4
1,1,2,1,3,3,1,25,4
2,1,1,1,1,1,1,37,4
2,1,1,1,1,1,2,18,4
2,1,1,1,1,1,2,36,4
2,1,1,1,1,2,1,13,2
2,1,1,1,1,1,1,60,2
2,1,1,1,2,1,1,1,6
2,1,1,1,1,1,2,29,4
2,1,1,1,1,1,2,31,4
2,1,1,1,1,1,1,25,2
2,1,1,1,1,1,2,63,4
2,1,1,1,1,1,2,21,2
1,1,1,1,3,1,2,79,4
2,1,1,1,1,1,2,23,4
2,1,1,1,1,3,1,64,2
1,1,1,1,3,2,1,80,4
1,1,1,1,3,1,1,10,4
1,1,1,1,3,1,2,41,4
2,1,1,1,3,2,1,23,2
1,1,1,1,1,1,1,58,2
2,1,1,1,1,2,1,47,2
1,1,3,1,1,1,2,47,2
2,1,1,1,1,1,1,42,2
2,1,1,1,1,1,1,10,2
4,1,1,1,1,1,1,58,4
1,2,1,1,3,1,1,24,4
2,1,1,1,1,1,2,46,4
1,1,1,1,2,1,2,40,6
1,1,1,1,3,2,1,7,4
1,1,1,1,3,1,2,13,4
1,1,2,1,1,1,1,21,4
2,1,1,1,1,1,1,36,2
1,1,1,1,3,1,2,2,4
1,1,2,1,3,1,1,37,4
1,1,1,1,3,1,1,40,4
1,1,1,1,3,1,2,49,4
2,1,1,1,1,1,1,64,2
1,1,1,1,1,1,2,22,4
1,1,1,1,3,1,1,8,4
2,1,1,1,1,1,2,51,4
2,1,1,1,1,1,1,22,4
2,1,1,1,1,1,1,43,2
2,1,1,1,1,1,2,69,4
2,1,1,1,1,3,1,83,4
2,1,1,1,1,1,1,42,2
2,1,1,1,1,1,1,42,2
2,1,1,1,1,2,1,58,2
1,1,1,1,3,1,1,69,2
1,1,1,1,1,1,1,18,4
1,1,1,1,2,1,1,17,4
1,1,1,1,2,1,1,15,4
1,1,1,1,3,1,1,79,2
2,1,1,1,2,1,2,52,6
2,1,1,5,1,1,2,84,4
3,1,1,1,1,1,1,31,4
2,1,1,5,1,1,1,31,4
2,1,1,5,2,1,2,30,4
4,2,1,1,1,1,2,41,4
2,1,1,1,2,1,2,21,6
2,1,1,1,2,1,2,15,6
2,1,1,1,2,1,2,44,6
1,1,1,1,2,1,2,46,6
2,1,1,1,1,1,2,57,2
2,1,1,1,2,1,2,20,4
2,1,1,1,2,1,2,66,4
4,1,2,1,1,1,2,23,4
4,1,2,1,1,1,1,50,4
1,1,1,1,3,1,1,22,4
2,1,1,1,1,1,2,30,4
2,1,1,1,2,1,2,30,4
2,1,1,1,1,1,2,50,4
2,1,1,1,2,1,2,29,4
2,1,1,1,1,1,2,57,4
2,1,1,1,1,1,1,65,4
2,1,1,1,1,1,1,30,2
2,1,1,1,1,1,1,40,2
1,1,2,1,2,1,2,49,6
2,1,2,1,2,1,2,38,6
1,1,1,5,3,1,1,6,4
2,1,1,1,1,1,1,35,2
2,1,1,1,1,1,2,74,2
1,2,1,2,1,2,1,29,4
2,2,1,2,1,1,1,41,4
3,2,1,2,2,1,1,77,4
2,1,1,1,1,2,1,46,2
2,1,1,1,1,1,2,44,4
2,1,1,1,1,1,1,42,2
2,1,1,1,1,1,1,49,4
2,1,1,1,1,1,1,30,2
2,1,1,1,1,1,2,27,4
2,1,1,1,1,1,2,21,4
2,1,1,1,2,1,2,57,4
2,1,1,1,1,1,1,32,2
2,1,1,1,1,1,1,38,2
2,1,1,1,1,1,1,31,4
2,1,1,1,1,1,1,8,2
2,1,1,1,1,1,1,34,2
2,2,1,1,1,1,2,28,4
2,2,1,1,1,1,2,25,4
3,1,1,1,1,2,1,56,6
1,2,1,1,3,1,2,23,4
2,1,1,1,1,1,1,22,4
2,1,1,1,2,1,1,8,4
2,1,1,1,1,2,1,42,2
2,1,1,1,1,1,1,25,4
3,1,1,1,1,1,2,25,4
3,1,1,1,1,1,1,44,4
2,1,1,1,1,2,1,31,2
2,1,1,1,1,1,1,30,4
2,1,1,1,1,1,1,6,2
1,1,1,1,3,1,1,10,4
2,1,1,1,1,1,1,76,4
2,1,1,1,1,1,2,23,4
5,1,2,1,1,2,1,22,4
5,1,2,1,2,1,1,19,4
5,1,2,1,2,1,1,21,6
5,1,2,1,2,1,2,44,6
5,1,2,1,2,1,2,25,6
2,2,1,1,1,2,1,38,4
2,2,1,1,1,1,1,39,4
2,2,1,1,2,2,2,33,4
2,2,1,1,2,2,2,26,4
2,2,1,1,1,1,1,22,4
2,2,1,1,2,1,2,55,4
2,2,1,1,1,1,1,57,4
2,1,1,1,2,1,2,64,4
2,1,1,1,1,1,2,11,2
2,1,1,1,1,1,1,25,2
2,1,1,1,1,1,2,29,4
2,1,1,1,2,1,2,52,4
2,1,1,1,1,1,1,20,4
4,1,1,1,1,1,2,18,4
3,1,1,1,1,1,1,47,6
1,1,1,1,1,1,1,77,4
2,2,1,1,1,1,2,57,4
3,1,1,1,2,1,2,16,4
3,1,1,1,2,1,2,54,4
2,1,1,1,2,2,1,16,2
3,1,1,1,1,1,2,28,4
2,1,1,1,2,1,2,56,4
2,1,1,1,2,2,2,23,4
2,1,1,1,1,1,1,65,2
2,1,1,1,1,1,1,42,2
2,1,1,1,1,1,1,54,2
2,1,1,1,2,1,2,53,2
2,1,1,1,1,1,1,29,2
2,1,1,1,1,1,1,45,2
1,1,1,1,2,1,1,8,4
2,1,1,1,2,1,1,37,4
1,2,1,1,1,1,1,26,4
1,2,1,1,2,1,2,26,4
2,1,1,1,1,1,1,42,2
2,1,2,1,1,1,1,19,2
2,1,1,1,1,1,1,82,4
2,1,1,1,1,1,1,24,2
2,1,1,1,2,1,1,84,4
2,1,1,1,1,1,1,46,6
2,1,1,1,1,3,1,26,0
2,1,1,1,2,2,1,50,0
2,1,1,1,2,2,1,7,0
2,1,1,1,2,2,1,5,0
2,1,1,1,2,1,1,8,0
1,1,1,1,1,1,1,59,4
2,1,1,1,1,2,1,31,2
2,1,1,1,1,1,1,42,2
2,1,1,1,1,1,1,33,2
2,1,1,1,1,1,1,24,2
2,1,1,1,1,1,1,24,2
2,1,1,1,1,1,1,46,2
2,1,1,1,1,1,1,39,2
3,1,1,1,1,1,1,34,4
1,1,2,1,3,1,2,22,4
2,1,1,1,2,1,1,16,4
2,1,1,1,2,1,1,17,4
2,1,1,1,1,1,2,27,4
2,1,1,1,1,2,1,26,2
2,1,1,1,1,1,2,39,4
2,2,1,2,2,1,2,61,4
2,2,1,2,2,1,2,57,4
2,1,1,1,1,1,2,32,2
2,1,1,1,1,1,1,11,2
2,1,1,1,1,1,1,43,6
2,1,1,1,1,1,1,27,2
2,1,1,1,1,1,1,18,2
3,1,1,1,1,1,2,28,4
2,1,1,1,1,1,2,74,4
2,1,1,1,1,1,2,18,4
2,1,1,1,2,1,1,59,4
2,1,1,1,1,1,2,51,4
2,1,1,1,1,1,2,33,4
2,1,1,1,2,1,2,1,4
2,1,1,1,2,1,1,5,4
2,1,1,1,2,1,1,10,4
2,1,1,1,1,1,1,29,4
