Number of Vehicles,Road Surface,Lighting Conditions,Weather Conditions,Casualty Victim,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
3,1,3,1,1,1,1,66,4
3,1,3,1,1,1,1,21,4
2,1,1,1,1,1,1,25,2
3,1,1,1,1,1,1,58,2
1,1,1,1,2,1,2,40,6
2,1,1,1,1,1,1,17,2
2,1,1,1,1,1,1,35,2
1,1,1,1,3,2,1,49,4
1,1,2,1,1,2,1,48,6
2,1,1,1,1,1,1,46,2
1,1,1,1,3,1,2,6,4
2,1,2,1,1,2,1,23,2
2,1,2,1,1,1,1,18,4
2,1,2,1,2,2,2,14,4
2,1,2,1,2,1,1,18,4
2,1,2,1,2,1,1,18,4
2,1,2,1,2,1,2,14,4
2,1,2,1,1,1,1,20,4
2,1,1,1,1,1,1,39,2
1,1,1,1,3,1,1,2,4
2,1,1,1,1,1,2,46,4
1,1,2,1,3,2,1,75,4
1,1,2,1,3,1,2,55,4
2,1,3,1,1,1,1,38,6
2,1,3,1,1,1,1,20,4
2,1,3,1,2,1,2,20,4
1,1,1,1,3,1,2,13,4
2,1,2,1,1,2,2,74,4
1,1,2,1,3,2,1,39,4
2,1,1,1,1,1,1,29,2
2,1,1,1,1,1,1,60,2
2,1,1,1,2,1,1,8,2
2,1,1,1,1,1,2,27,2
2,1,1,1,1,1,2,31,4
2,1,1,1,2,1,1,2,4
2,1,1,1,1,1,1,46,4
2,1,1,1,1,1,2,33,4
1,1,2,1,3,2,1,24,4
2,1,1,1,1,1,2,26,4
2,1,1,1,2,1,1,53,4
2,1,1,1,1,1,1,39,4
3,1,1,1,1,1,1,56,4
2,1,1,1,3,1,1,69,4
2,1,1,1,1,1,1,30,2
2,1,1,1,1,1,1,57,4
2,1,1,1,1,1,2,27,4
1,1,1,1,3,2,2,86,4
2,1,2,1,1,1,2,20,4
2,1,2,1,2,1,2,23,4
2,1,2,1,2,1,2,18,4
1,1,1,1,3,1,1,67,4
2,1,1,1,1,1,1,23,2
2,1,1,1,1,1,1,46,4
2,1,1,1,1,1,1,24,2
3,1,1,1,1,1,1,39,4
1,1,1,1,3,1,2,19,4
2,1,2,1,1,1,2,31,4
2,1,1,1,1,2,1,35,2
2,1,1,1,1,1,1,28,2
2,1,1,1,1,1,2,22,4
2,1,3,1,1,2,1,68,4
2,1,3,1,2,1,1,71,4
2,1,3,1,2,1,1,73,4
2,1,3,1,1,1,2,21,4
2,1,3,1,2,1,2,19,4
2,2,1,2,1,1,1,25,2
2,1,1,1,1,1,2,30,4
2,1,1,1,1,1,2,48,4
3,1,1,1,1,1,1,28,4
1,1,1,1,2,1,1,16,2
2,1,2,1,1,1,1,34,2
2,1,2,1,2,1,2,29,2
2,2,2,2,1,1,1,39,4
2,2,2,2,2,1,1,39,4
2,2,1,2,2,1,2,18,4
2,2,1,2,2,1,1,2,4
2,2,1,2,1,1,1,30,4
2,2,1,2,2,1,2,25,4
2,2,1,2,1,1,1,19,2
2,2,1,2,1,1,1,40,2
2,1,1,1,1,1,1,4,2
2,1,1,1,1,1,1,16,2
1,1,1,1,3,1,2,22,4
2,1,1,1,1,1,1,20,2
2,1,1,1,1,1,1,25,6
2,2,1,2,1,1,1,56,2
2,2,2,3,2,1,1,47,4
2,2,2,3,2,1,1,23,4
2,2,2,3,2,1,1,15,4
2,2,2,3,2,1,1,18,4
1,2,2,3,1,1,2,41,4
1,2,2,3,2,1,1,39,4
2,2,2,2,1,1,1,31,2
2,1,1,1,1,1,2,23,2
1,1,1,1,3,1,1,39,4
2,2,1,1,3,2,1,54,4
2,2,2,2,1,1,1,32,4
1,2,1,2,3,2,1,29,4
2,1,1,1,1,1,2,27,4
2,1,1,1,1,1,2,19,4
1,1,1,1,1,1,2,36,4
1,1,1,1,2,1,1,6,4
1,1,1,1,2,1,1,3,4
1,1,1,1,3,2,2,75,4
3,2,1,2,1,1,1,25,4
3,2,1,2,1,1,1,19,4
2,1,1,1,1,1,1,65,4
2,2,1,2,1,1,1,44,4
2,2,1,2,2,1,1,8,4
3,2,2,1,1,1,1,24,4
3,2,2,1,1,1,1,25,4
2,1,1,1,1,1,1,34,2
1,1,1,1,3,1,2,20,4
2,1,1,1,1,1,1,22,2
2,1,1,1,1,1,1,29,2
2,1,2,1,1,1,1,38,2
1,1,2,1,3,2,1,48,4
2,2,1,1,1,1,1,37,4
2,1,1,1,1,1,1,44,4
3,1,2,1,1,1,1,25,4
3,1,2,1,1,1,2,20,4
3,1,2,1,2,1,2,20,4
3,1,2,1,3,2,2,46,4
2,1,1,1,1,1,1,44,2
1,2,3,1,3,1,1,29,4
3,1,1,1,2,1,1,4,4
1,1,1,1,3,1,2,26,4
2,1,1,1,1,1,1,66,4
2,1,1,1,2,1,2,69,4
2,1,1,1,2,1,1,32,4
2,1,1,1,2,1,2,7,4
2,1,1,1,2,1,2,27,4
3,1,1,1,1,1,1,19,4
3,1,1,1,2,1,2,48,4
2,1,1,1,1,1,1,18,4
2,1,2,1,1,1,1,40,4
2,1,2,1,2,1,1,34,4
3,1,1,1,1,1,1,74,6
3,1,1,1,2,2,1,63,6
3,1,1,1,2,1,2,69,6
3,1,1,1,1,1,1,72,4
3,1,1,1,2,1,2,70,4
4,1,1,1,1,1,2,49,6
3,1,1,1,1,1,2,25,4
1,1,1,1,3,1,2,20,4
1,1,1,1,2,1,1,55,6
2,1,1,1,1,1,1,32,2
3,1,1,1,1,2,2,18,4
3,1,1,1,1,1,2,52,4
1,1,1,1,1,1,1,76,2
2,1,1,1,1,1,1,31,2
2,1,1,1,1,2,1,28,2
1,1,2,1,1,1,1,43,2
2,1,1,1,2,1,2,26,4
1,1,1,1,1,1,2,48,2
1,1,1,1,1,2,1,41,4
2,1,1,1,1,1,1,58,2
1,1,2,1,3,1,1,35,6
2,1,2,1,2,1,2,18,4
2,1,2,1,2,1,1,33,4
2,1,1,1,1,1,1,38,2
2,1,1,1,1,1,2,23,4
1,2,1,3,1,1,2,23,4
2,1,1,1,1,1,1,37,4
2,1,1,1,1,1,1,38,4
2,1,1,1,1,1,2,82,4
2,1,1,1,1,1,2,23,4
2,1,1,1,1,2,1,58,2
4,1,1,1,1,1,1,26,6
4,1,1,1,1,1,1,44,0
4,1,1,1,1,1,2,44,0
4,1,1,1,1,1,2,47,0
3,1,1,1,1,1,2,57,4
3,1,1,1,1,1,1,78,6
2,1,1,1,2,1,1,9,4
2,1,1,1,1,1,2,25,4
