Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
4,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,48,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,59,Pedal cycle
1,Unclassified,Wet / Damp,Daylight: street lights present,Unknown,Driver/Rider,Slight,Male,19,Motorcycle over 50cc and up to 125cc
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,26,Motorcycle over 50cc and up to 125cc
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,66,Bus or coach (17 or more passenger seats)
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,33,Car
2,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,20,Car
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,41,Car
4,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Serious,Female,39,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,54,Motorcycle over 500cc
2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,35,Goods vehicle 3.5 tonnes mgw and under
1,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,14,Car
2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,34,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,34,Other Vehicle 
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,31,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,39,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,43,Pedal cycle
3,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Car
3,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,19,Car
3,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,24,Car
1,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,11,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,30,Taxi/Private hire car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,22,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,33,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,2,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,39,Car
2,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,36,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,22,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,10,Car
1,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,21,Car
2,A,Dry,Daylight: street lights present,Unknown,Driver/Rider,Slight,Male,37,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,90,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,19,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,82,Bus or coach (17 or more passenger seats)
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car
2,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,16,Car
1,A(M),Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,19,Car
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,22,Taxi/Private hire car
5,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,36,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,55,Motorcycle over 500cc
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,28,Car
2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,22,Car
1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Female,52,Car
1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,28,Car
1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,33,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,47,Motorcycle over 50cc and up to 125cc
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,48,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,58,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,54,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,19,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Serious,Male,37,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,31,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,65,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,22,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,17,Car
1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Fatal,Male,25,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,37,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,18,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,36,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,13,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,60,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,1,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,29,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,31,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,63,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,21,Motorcycle over 50cc and up to 125cc
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,79,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,23,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Fatal,Male,64,Motorcycle over 500cc
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,80,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,10,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,41,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,23,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,58,Motorcycle over 500cc
2,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,47,Pedal cycle
1,A,Dry,Darkness: street lights present but unlit,Fine without high winds,Driver/Rider,Slight,Female,47,Motorcycle over 500cc
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,42,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,10,Pedal cycle
4,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,58,Car
1,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,24,Car
2,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,46,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,40,Bus or coach (17 or more passenger seats)
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,7,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,13,Car
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,21,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,36,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,2,Car
1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,37,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,40,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,49,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,64,Motorcycle over 500cc
1,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,22,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,8,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,51,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,22,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,43,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,69,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Fatal,Male,83,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,42,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,42,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,58,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,69,Mobility Scooter
1,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,18,Car
1,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,17,Car
1,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,15,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,79,Motorcycle over 125cc and up to 500cc
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,52,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Unknown,Driver/Rider,Slight,Female,84,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,31,Car
2,Unclassified,Dry,Daylight: street lights present,Unknown,Driver/Rider,Slight,Male,31,Car
2,Unclassified,Dry,Daylight: street lights present,Unknown,Passenger,Slight,Female,30,Car
4,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,41,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,21,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,15,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,44,Bus or coach (17 or more passenger seats)
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,46,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,57,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,Car
2,A(M),Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,66,Car
4,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,23,Car
4,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,50,Car
1,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,22,Car
2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,30,Car
2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,30,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,50,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,29,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,57,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,65,Car
2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,30,Motorcycle over 500cc
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,40,Pedal cycle
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,49,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,38,Bus or coach (17 or more passenger seats)
1,A,Dry,Daylight: street lights present,Other,Pedestrian,Slight,Male,6,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,35,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,74,Mobility Scooter
1,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Serious,Male,29,Car
2,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,41,Car
3,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,77,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,46,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,44,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,42,Pedal cycle
2,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,49,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,30,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,21,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,57,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,32,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,38,Pedal cycle
2,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,31,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,8,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,34,Pedal cycle
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,28,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Car
3,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,56,Goods vehicle 7.5 tonnes mgw and over
1,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,23,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,22,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,8,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,42,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Car
3,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Car
3,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,44,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,31,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,30,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,6,Pedal cycle
1,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,10,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,76,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,23,Car
5,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,22,Car
5,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,19,Car
5,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Bus or coach (17 or more passenger seats)
5,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,44,Bus or coach (17 or more passenger seats)
5,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,25,Bus or coach (17 or more passenger seats)
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,38,Taxi/Private hire car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,39,Taxi/Private hire car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,33,Taxi/Private hire car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,26,Taxi/Private hire car
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,22,Car
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,55,Car
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,57,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,64,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,11,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,29,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,52,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,20,Car
4,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,18,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,47,Goods vehicle 3.5 tonnes mgw and under
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,77,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,57,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,16,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,54,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,16,M/cycle 50cc and under
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,28,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,56,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,23,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,65,Motorcycle over 125cc and up to 500cc
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,42,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,54,Motorcycle over 500cc
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,53,Motorcycle over 500cc
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,29,Motorcycle over 500cc
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,45,Motorcycle over 500cc
1,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,8,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,37,Car
1,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,26,Car
1,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,26,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,42,Pedal cycle
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,19,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,82,Car
2,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,M/cycle 50cc and under
2,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,84,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,46,Goods vehicle 3.5 tonnes mgw and under
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Fatal,Male,26,Other Vehicle 
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,50,Other Vehicle 
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,7,Other Vehicle 
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,5,Other Vehicle 
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,8,Other Vehicle 
1,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,59,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,31,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,42,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,33,Motorcycle over 50cc and up to 125cc
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Motorcycle over 125cc and up to 500cc
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Motorcycle over 125cc and up to 500cc
2,A(M),Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,46,Motorcycle over 500cc
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,39,Pedal cycle
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,34,Car
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,22,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,16,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,17,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,26,Motorcycle over 500cc
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,39,Car
2,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,61,Car
2,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,57,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,32,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,11,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,43,Goods vehicle 7.5 tonnes mgw and over
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,27,Pedal cycle
2,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,18,Motorcycle over 50cc and up to 125cc
3,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,28,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,74,Car
2,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,18,Car
2,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,59,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,51,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,33,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,1,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,5,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,10,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,29,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,53,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,2,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,20,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,86,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,9,M/cycle 50cc and under
1,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,3,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,45,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,32,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Goods vehicle 3.5 tonnes mgw and under
2,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,6,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,44,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,18,M/cycle 50cc and under
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,60,Bus or coach (17 or more passenger seats)
1,A,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,66,Car
1,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,90,Car
